import time: self [us] | cumulative | imported package
import time:        86 |         86 | winreg
import time:       185 |        185 |   _io
import time:        27 |         27 |   marshal
import time:       176 |        176 |   nt
import time:       503 |        890 | _frozen_importlib_external
import time:       573 |        573 |   time
import time:       204 |        776 | zipimport
import time:        44 |         44 |     _codecs
import time:       461 |        504 |   codecs
import time:       863 |        863 |   encodings.aliases
import time:      1323 |       2690 | encodings
import time:       440 |        440 | encodings.utf_8
import time:        44 |         44 |   _codecs_jp
import time:        47 |         47 |   _multibytecodec
import time:       986 |       1077 | encodings.cp932
import time:        34 |         34 | _signal
import time:        23 |         23 |     _abc
import time:       117 |        140 |   abc
import time:        98 |        237 | io
import time:        45 |         45 |       _stat
import time:        61 |        106 |     stat
import time:       579 |        579 |     _collections_abc
import time:        51 |         51 |       genericpath
import time:        57 |         57 |       _winapi
import time:       147 |        254 |     ntpath
import time:       392 |       1329 |   os
import time:        53 |         53 |   _sitebuiltins
import time:        40 |         40 |   errno
import time:       397 |        397 |   encodings.utf_8_sig
import time:      1009 |       1009 |   _virtualenv
import time:       435 |        435 |   types
import time:       423 |        423 |     importlib
import time:       429 |        429 |     importlib._abc
import time:       244 |       1095 |   importlib.util
import time:        82 |         82 |   importlib.machinery
import time:       992 |        992 |   sitecustomize
import time:      3633 |       9061 | site
import time:       509 |        509 | linecache
import time:       115 |        115 |             itertools
import time:       460 |        460 |             keyword
import time:       150 |        150 |               _operator
import time:       634 |        784 |             operator
import time:       442 |        442 |             reprlib
import time:        52 |         52 |             _collections
import time:      1115 |       2965 |           collections
import time:        39 |         39 |           _functools
import time:      1365 |       4368 |         functools
import time:       670 |        670 |           contextlib
import time:      1119 |       1119 |             enum
import time:        57 |         57 |               _sre
import time:       504 |        504 |                 re._constants
import time:       764 |       1268 |               re._parser
import time:       312 |        312 |               re._casefix
import time:       526 |       2161 |             re._compiler
import time:       447 |        447 |             copyreg
import time:       709 |       4436 |           re
import time:       744 |        744 |               posix
import time:       706 |        706 |               posix
import time:       163 |       1613 |             posixpath
import time:       631 |       2243 |           fnmatch
import time:       705 |       8052 |         glob
import time:       658 |      13078 |       pathlib._abc
import time:       657 |        657 |         warnings
import time:       460 |        460 |         pwd
import time:       403 |        403 |         grp
import time:       727 |       2245 |       pathlib._local
import time:       453 |      15775 |     pathlib
import time:       521 |      16296 |   textkit
import time:       591 |        591 |     __future__
import time:        42 |         42 |       _typing
import time:      2295 |       2336 |     typing
import time:        55 |         55 |         zlib
import time:       477 |        477 |           _compression
import time:       810 |        810 |           _bz2
import time:       482 |       1768 |         bz2
import time:       466 |        466 |           _lzma
import time:       522 |        987 |         lzma
import time:       777 |       3585 |       shutil
import time:       657 |        657 |                 _ast
import time:      1197 |       1854 |               ast
import time:        32 |         32 |                   _opcode
import time:       463 |        463 |                   _opcode_metadata
import time:       522 |       1016 |                 opcode
import time:       877 |       1893 |               dis
import time:       425 |        425 |                 token
import time:        26 |         26 |                 _tokenize
import time:       805 |       1255 |               tokenize
import time:       450 |        450 |                 _weakrefset
import time:       604 |       1054 |               weakref
import time:      1692 |       7746 |             inspect
import time:       955 |        955 |             gettext
import time:        95 |         95 |                 _datetime
import time:       495 |        590 |               datetime
import time:      2538 |       2538 |                     _ctypes
import time:        44 |         44 |                       _struct
import time:       417 |        461 |                     struct
import time:       508 |        508 |                     ctypes._endian
import time:       897 |       4403 |                   ctypes
import time:       696 |        696 |                   ctypes.wintypes
import time:        27 |         27 |                   msvcrt
import time:      1473 |       6598 |                 click._winconsole
import time:       880 |       7477 |               click._compat
import time:       790 |        790 |                   threading
import time:       598 |       1387 |                 click.globals
import time:       523 |        523 |                 click.utils
import time:       708 |       2617 |               click.exceptions
import time:      1239 |      11923 |             click.types
import time:       499 |        499 |             click._utils
import time:       514 |        514 |               click.parser
import time:       469 |        982 |             click.formatting
import time:       450 |        450 |             click.termui
import time:      1431 |      23983 |           click.core
import time:       489 |        489 |           click.decorators
import time:       695 |      25166 |         click
import time:        15 |      25181 |       click.exceptions
import time:       504 |        504 |       typer.colors
import time:       937 |        937 |           _wmi
import time:      1014 |       1951 |         platform
import time:        39 |         39 |             _locale
import time:       883 |        922 |           locale
import time:       520 |        520 |           signal
import time:       423 |        423 |           fcntl
import time:       741 |       2605 |         subprocess
import time:       793 |        793 |           textwrap
import time:       448 |        448 |           _colorize
import time:       742 |       1983 |         traceback
import time:       729 |        729 |           _uuid
import time:      1809 |       2537 |         uuid
import time:       679 |        679 |         typer._types
import time:       627 |        627 |         typer._typing
import time:       588 |        588 |             click.shell_completion
import time:       588 |        588 |                 shellingham._core
import time:       614 |       1201 |               shellingham
import time:       635 |       1836 |             typer._completion_shared
import time:       574 |       2997 |           typer._completion_classes
import time:      1161 |       1161 |           typer.models
import time:       673 |        673 |           typer.params
import time:       438 |        438 |             copy
import time:       511 |        948 |           typer.utils
import time:       579 |       6357 |         typer.completion
import time:       605 |        605 |             rich._extension
import time:      1045 |       1649 |           rich
import time:      1423 |       3072 |         typer.core
import time:       798 |      20605 |       typer.main
import time:       738 |      50612 |     typer
import time:       690 |        690 |       dataclasses
import time:       405 |        405 |         termios
import time:       454 |        859 |       getpass
import time:      1290 |       1290 |         html.entities
import time:       563 |       1852 |       html
import time:        53 |         53 |       math
import time:       636 |        636 |       rich._null_file
import time:       595 |        595 |       rich.errors
import time:        43 |         43 |                 _bisect
import time:       537 |        580 |               bisect
import time:        31 |         31 |               _random
import time:       660 |       1270 |             random
