import time: self [us] | cumulative | imported package
import time:        64 |         64 | winreg
import time:       131 |        131 |   _io
import time:        31 |         31 |   marshal
import time:       130 |        130 |   nt
import time:       408 |        699 | _frozen_importlib_external
import time:       506 |        506 |   time
import time:       177 |        683 | zipimport
import time:        33 |         33 |     _codecs
import time:       353 |        386 |   codecs
import time:       767 |        767 |   encodings.aliases
import time:      1066 |       2218 | encodings
import time:       381 |        381 | encodings.utf_8
import time:        43 |         43 |   _codecs_jp
import time:        47 |         47 |   _multibytecodec
import time:       966 |       1054 | encodings.cp932
import time:        27 |         27 | _signal
import time:        21 |         21 |     _abc
import time:       102 |        123 |   abc
import time:        88 |        211 | io
import time:        42 |         42 |       _stat
import time:        57 |         99 |     stat
import time:       529 |        529 |     _collections_abc
import time:        52 |         52 |       genericpath
import time:        63 |         63 |       _winapi
import time:       135 |        250 |     ntpath
import time:       385 |       1261 |   os
import time:        55 |         55 |   _sitebuiltins
import time:        39 |         39 |   errno
import time:       492 |        492 |   encodings.utf_8_sig
import time:       998 |        998 |   _virtualenv
import time:       465 |        465 |   types
import time:       396 |        396 |     importlib
import time:       431 |        431 |     importlib._abc
import time:       120 |        946 |   importlib.util
import time:        37 |         37 |   importlib.machinery
import time:       872 |        872 |   sitecustomize
import time:      3054 |       8213 | site
import time:       442 |        442 | linecache
import time:        84 |         84 |             itertools
import time:       394 |        394 |             keyword
import time:       147 |        147 |               _operator
import time:       506 |        653 |             operator
import time:       465 |        465 |             reprlib
import time:        61 |         61 |             _collections
import time:       844 |       2498 |           collections
import time:        38 |         38 |           _functools
import time:       664 |       3200 |         functools
import time:       667 |        667 |           contextlib
import time:      1251 |       1251 |             enum
import time:        51 |         51 |               _sre
import time:       422 |        422 |                 re._constants
import time:       613 |       1035 |               re._parser
import time:       338 |        338 |               re._casefix
import time:       553 |       1976 |             re._compiler
import time:       440 |        440 |             copyreg
import time:       832 |       4497 |           re
import time:       409 |        409 |               posix
import time:       371 |        371 |               posix
import time:       108 |        888 |             posixpath
import time:       409 |       1296 |           fnmatch
import time:       636 |       7094 |         glob
import time:       594 |      10888 |       pathlib._abc
import time:       512 |        512 |         warnings
import time:       415 |        415 |         pwd
import time:       369 |        369 |         grp
import time:       621 |       1915 |       pathlib._local
import time:       441 |      13242 |     pathlib
import time:       481 |      13723 |   textkit
import time:       413 |        413 |     __future__
import time:        33 |         33 |       _typing
import time:      1736 |       1769 |     typing
import time:       474 |        474 |     textkit.cli_interface.abstractions
import time:       472 |        472 |     textkit.cli_interface.factory
import time:       582 |       3708 |   textkit.cli_interface.core
import time:       664 |      18094 | textkit.cli_interface
